
> format
> prettier --write .

[90m.github/workflows/automatic-transcription.yml[39m 36ms (unchanged)
[90m.github/workflows/ci.yml[39m 36ms (unchanged)
[90m.github/workflows/exam-engine.yml[39m 10ms (unchanged)
[[31merror[39m] .github/workflows/finalize-automatic-transcription-pr.yml: SyntaxError: A collection cannot be both a mapping and a sequence (1:1)
[[31merror[39m] [0m[31m[1m>[22m[39m[90m  1 |[39m name[33m:[39m [33mNormalize[39m automatic transcription [33mPR[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  2 |[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  3 |[39m on[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  4 |[39m   pull_request[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  5 |[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  6 |[39m permissions[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  7 |[39m   contents[33m:[39m write
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  8 |[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  9 |[39m jobs[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  10 |[39m   normalize[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
